238,,Aster,,lateriflorus,Chloe',(Symphyotrichum lateriflorum 'Chloe') Calico Aster. ,ASTCHLO,Arching swags of pure white daisies with yellow eyes are borne on stiffly upright stems with gently arching laterals. But it just gets better and better until the centres transform into miniature Robin's Pincushions. Petals reflex with age and take on a hint of silver pink. 1m,1L,1,0000000000000,A\Aster-lateriflorus-Chloe-(1).jpg,,,,0,Default,0,,0
241,,Aster,,novae-angliae,'Harrington's Pink',( Symphyotrichum novae-angliae 'Harrington's Pink' ),ASTHARPIN,A glory in September to October when it is a huge  mound of pale sugary pink flowers covered in bees  and butterflies. A large showy michelmas daisy  which is largely mildew resistant. 200cm,1L,1,0000000000000,A\Aster novae-angliae Harringtons Pink.jpg,,,,0,Default,0,,0
264,,Aster,,novi-belgii,'Little Man in Blue',( Symphyotrichum novi-belgii 'Little Man in Blue' ),ASTNBLMIB,Intermediate between the very dwarf and tall border Asters. A stocky plant is smothered in smallish lialc-blue daisies and is ideal for the edge or near front of the border to give a dash of late colour. An excellent late nectar source. Late September 50cm. Flowers 3cm.,,1,0000000000000,A\Aster-novi-belgii-Little-Man-in-Blue-(3).jpg,,,,0,Default,0,,0
436,,Chrysanthemum,,,'Bronze Elegance' - Korean : pompon (C.'Bronze Mei Kyo'),,CHRYSBRELEG,In late Oct this tight 2-3ft mound is smothered in 1in pom-poms; shaded apricot to maroon. Very welcome so late in the year. Any soil in sun. Cut to ground in winter.,1L,1,0000000000000,C\Chrysanthemum-Bronze-Elegance-(4).jpg,,,,0,Default,0,,0
446,,Chrysanthemum,,,'Mei-Kyo' - Early Flowering Outdoor Pompon : semi-pompon,,CHRYSMEIKYO,Very welcome in late Oct this tight 2-3ft mound is smothered in 1in pom-poms; shaded light to dark pink. Any soil in sun. Cut to ground in winter. MAY CAUSE SKIN ALLERGY,1L,1,0000000000000,C\Chrysanthemum Mei kyo.JPG,,,,0,Default,1,,0
447,,Chrysanthemum,,,'Nantyderry Sunshine' - Early Flowering Outdoor Pompon : semi-pompon,,CHRYSNANSUN,"Sunshine yellow buttons at the end of the season are the mark of this variety. It flowers early in the Chrysanthemum season and forms a low 60cm bush that is absolutely covered in bright yellow fully double buttons that deepen in colour from the edge to the centre.",1L,1,0000000000000,C\Chrysanthemum-Nantederry-Shunshine-(2).jpg,,,,1,Default,0,,0
448,,Chrysanthemum,,,'Paul Boissier' - Early Flowering Outdoor Type : rubellum,,CHRYSPAULB,Paul Boissier is an Early Flowering Outdoor Type  of the rubellum type. The flowers are double in a rich shaded burnt orange,1L,1,0000000000000,C\Chrysanthemum-Paul-Boissier-(3).jpg,,,,0,Default,0,,0
954,,Geranium,,,'Brookside',(Geranium clarkei Kashmir Purple x Geranium pratense),GERBROO,A lovely new hybrid which combines strong growth and beautiful finely divided foliage with amply  produced large deep clear blue flowers; each paler in the centre. 60cm. (G.pratense x G. Kashmir Purple),1L,1,0000000000000,G\Geranium Brookside.JPG,G\Geranium Brookside close.jpg,,,,,,,
1470,,Miscanthus,,sinensis,'Morning Light',Miscanthus sinensis 'Gracillimus Variegatus' ( Eulalia ) ,MISCMORNL,"Excellent award winning variety of medium height  (1.5-1.8m tall). Leaves are narrow nicely arching with a narrow edging of white which give this variety an elegant refined and bright appearance. Very pretty when it catches the the low sun from behind. Panicles are red-bronze. Deciduous",1L,1,0000000000000,M\Miscanthus-Morning-Light-(2).jpg,,,,1,Default,0,,0
1947,,Stipa,,tenuissima,,(Stipa tenuifolia. Nassella tenuissima) Mexican Feather Grass. Texan Needle Grass,STIPATEN,Needle thin foliage forms an arching fountain which only get more diaphanous when the feathery inflorescences appear throughout Summer. Being short it is really easy to slip in all through the garden and looks at its best if you can get it back lit by the westering sun.,1L,1,0000000000000,S\Stipa-tenuissima.jpg,,,,0,Default,0,,1
